station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000PX,2019-11-23 22:30:00,7.9,1000.3,,93,6.9,,3.3,,6.4,297,,,,,,,,,1,,0,0,,,61,0@@@@294.4@@@@,wlkLive
000PX,2019-11-23 22:45:00,7.9,1000.6,,94,6.9,,4.8,,9.7,287,,,,,,,,,1,,0,0,,,61,0@@@@294.8@@@@,wlkLive
000PX,2019-11-23 23:00:00,7.8,1000.7,,94,6.9,,5.7,,11.3,282,,,1,,,,,,1.2,,0,0,,,61,0@@@@295.2@@@@,wlkLive
000PX,2019-11-23 23:15:00,7.8,1000.9,,94,6.9,,6.9,,12.9,277,,,,,,,,,2,,0,0,,,61,0@@@@295.6@@@@,wlkLive
000PX,2019-11-23 23:30:00,7.7,1001.1,,95,6.9,,5.8,,11.3,280,,,,,,,,,3,,0,0,,,63,0@@@@296.4@@@@,wlkLive
000PX,2019-11-23 23:45:00,7.6,1000.9,,95,6.9,,8.9,,16.1,277,,,,,,,,,1.8,,0,0,,,61,0@@@@296.8@@@@,wlkLive
000PX,2019-11-24 00:00:00,7.6,1001.1,,95,6.9,,7,,12.9,270,,,2,,,,,,2,,0,0,,,61,0@@@@297.2@@@@,wlkLive
000PX,2019-11-24 00:15:00,7.6,1001.1,,95,6.9,,7.5,,16.1,273,,,,,,,,,1.8,,0,0,,,61,0@@@@298@@@@,wlkLive
000PX,2019-11-24 00:30:00,7.6,1001.2,,96,6.9,,8.7,,16.1,275,,,,,,,,,2,,0,0,,,61,0@@@@298.4@@@@,wlkLive
000PX,2019-11-24 00:45:00,7.6,1001.2,,96,6.9,,3.7,,6.4,281,,,,,,,,,2.4,,0,0,,,61,0@@@@298.8@@@@,wlkLive
000PX,2019-11-24 01:00:00,7.6,1001.3,,95,6.9,,3.7,,9.7,286,,,1.6,4.6,,,,,1,,0,0,,,61,0@@@@298.8@@@@,wlkLive
000PX,2019-11-24 01:15:00,7.4,1001.5,,96,6.8,,0.1,,1.6,,,,,,,,,,0,,0,0,,,,0@@@@298.8@@@@,wlkLive
000PX,2019-11-24 01:30:00,7.4,1001.9,,96,6.7,,0.6,,4.8,,,,,,,,,,0,,0,0,,,,0@@@@298.8@@@@,wlkLive
000PX,2019-11-24 01:45:00,7.5,1002,,96,6.9,,2.6,,9.7,36,,,,,,,,,0.2,,0,0,,,,0@@@@299.2@@@@,wlkLive
000PX,2019-11-24 02:00:00,7.6,1002.2,,96,7,,1.5,,8,41,,,0.2,3.8,,,,,0,,0,0,,,,0@@@@299.2@@@@,wlkLive
000PX,2019-11-24 02:15:00,7.6,1002.4,,96,7,,0.4,,3.2,45,,,,,,,,,0,,0,0,,,,0@@@@299.2@@@@,wlkLive
000PX,2019-11-24 02:30:00,7.6,1002.5,,96,7.1,,0.3,,3.2,54,,,,,,,,,1,,0,0,,,61,0@@@@299.6@@@@,wlkLive
000PX,2019-11-24 02:45:00,7.6,1002.4,,96,7.1,,0,,0,,,,,,,,,,2.4,,0,0,,,61,0@@@@300@@@@,wlkLive
000PX,2019-11-24 03:00:00,7.6,1002.6,1.5,96,7,,0,,0,,,,1.2,3,,,,,2.4,,0,0,,,61,0@@@@300.4@@@@,wlkLive
000PX,2019-11-24 03:15:00,7.6,1002.5,1.4,96,7,,0,,0,,,,,,,,,,1.8,,0,0,,,61,0@@@@300.8@@@@,wlkLive
000PX,2019-11-24 03:30:00,7.5,1002.6,1.5,96,6.9,,3,,4.8,273,,,,,,,,,1,,0,0,,,61,0@@@@301.2@@@@,wlkLive
000PX,2019-11-24 03:45:00,7.4,1002.7,1.6,97,6.9,,3.3,,6.4,285,,,,,,,,,0.8,,0,0,,,,0@@@@301.6@@@@,wlkLive
000PX,2019-11-24 04:00:00,7.4,1002.9,1.6,97,6.9,,0,,0,,,,1.2,2.6,7.2,,,,1.2,,0,0,,,61,0@@@@302@@@@,wlkLive
000PX,2019-11-24 04:15:00,7.4,1003.1,1.8,97,6.9,,0,,0,,,,,,,,,,1,,0,0,,,61,0@@@@302@@@@,wlkLive
000PX,2019-11-24 04:30:00,7.4,1003.1,1.8,97,6.9,,0.8,,4.8,,,,,,,,,,1.8,,0,0,,,61,0@@@@302.4@@@@,wlkLive
000PX,2019-11-24 04:45:00,7.4,1003.2,1.9,97,6.9,,4.5,,6.4,281,,,,,,,,,1.2,,0,0,,,61,0@@@@302.8@@@@,wlkLive
000PX,2019-11-24 05:00:00,7.4,1003.5,1.3,97,6.9,,4.1,,9.7,275,,,1.2,3.6,7.4,,,,1,,0,0,,,61,0@@@@303.2@@@@,wlkLive
000PX,2019-11-24 05:15:00,7.3,1003.7,1.5,97,6.8,,5.1,,9.7,275,,,,,,,,,1.2,,0,0,,,61,0@@@@303.6@@@@,wlkLive
000PX,2019-11-24 05:30:00,7.3,1003.9,1.7,97,6.8,,2.8,,4.8,286,,,,,,,,,1.2,,0,0,,,61,0@@@@304@@@@,wlkLive
000PX,2019-11-24 05:45:00,7.4,1004,1.8,97,6.9,,2.9,,4.8,300,,,,,,,,,1,,0,0,,,61,0@@@@304@@@@,wlkLive
000PX,2019-11-24 06:00:00,7.4,1004.1,1.5,97,6.9,,3.2,,6.4,330,,,1,3.4,6.4,,,,1,,0,0,,,61,0@@@@304.4@@@@,wlkLive
000PX,2019-11-24 06:15:00,7.6,1004.4,1.8,97,7.1,,4,,6.4,352,,,,,,,,,0.8,,0,0,,,,0@@@@304.4@@@@,wlkLive
000PX,2019-11-24 06:30:00,7.7,1004.4,1.8,96,7.1,,2.8,,4.8,351,,,,,,,,,0.2,,0,0,,,,0@@@@304.8@@@@,wlkLive
000PX,2019-11-24 06:45:00,7.7,1004.6,2,97,7.2,,2.7,,6.4,355,,,,,,,,,0,,0,0,,,,0@@@@304.8@@@@,wlkLive
000PX,2019-11-24 07:00:00,7.8,1005,2.1,97,7.3,,5.2,,11.3,9,,,0.2,2.4,5,,,,0.2,,0,0,,,,0@@@@305@@@@,wlkLive
000PX,2019-11-24 07:15:00,7.9,1005.1,2.2,96,7.3,,4.1,,8,354,,,,,,,,,0.2,,0,0,,,,0@@@@305@@@@,wlkLive
000PX,2019-11-24 07:30:00,7.9,1005.4,2.5,96,7.3,,3.4,,6.4,321,,,,,,,,,0.2,,7,0,,,,0@@@@305@@@@,wlkLive
000PX,2019-11-24 07:45:00,7.9,1005.6,2.7,96,7.3,,3.6,,6.4,315,,,,,,,,,1.6,,7,0,,,61,0@@@@305.4@@@@,wlkLive
000PX,2019-11-24 08:00:00,7.8,1005.7,2.2,96,7.3,,3.7,,9.7,268,,,1,2.2,5.8,,,,1,,14,0,,,61,0@@@@305.8@@@@,wlkLive
000PX,2019-11-24 08:15:00,7.7,1005.7,2.2,96,7.2,,4.5,,9.7,260,,,,,,,,,1,,18,0,,,61,0@@@@306.2@@@@,wlkLive
000PX,2019-11-24 08:30:00,7.9,1005.9,2.4,96,7.3,,6.6,,12.9,281,,,,,,,,,1,,32,0,,,61,0@@@@306.2@@@@,wlkLive
000PX,2019-11-24 08:45:00,8.2,1006.1,2.6,93,7.2,,9,,17.7,296,,,,,,,,,0.8,,42,0,,,,0@@@@306.6@@@@,wlkLive
000PX,2019-11-24 09:00:00,8.3,1006.3,2.2,94,7.3,,6.8,,16.1,282,,,0.8,2,5.4,,,,0.2,,28,0,,,,0@@@@306.6@@@@,wlkLive
000PX,2019-11-24 09:15:00,8.1,1006.6,2.5,91,6.8,,10.3,,20.9,283,,,,,,,,,1.6,,35,0,,,61,0@@@@307@@@@,wlkLive
000PX,2019-11-24 09:30:00,7.9,1006.6,2.5,90,6.3,,13.1,,25.7,295,,,,,,,,,0.8,,46,0,,,,0@@@@307@@@@,wlkLive
000PX,2019-11-24 09:45:00,7.9,1006.9,2.8,89,6.2,,13.5,,27.4,292,,,,,,,,,0,,67,0,,,,0@@@@307@@@@,wlkLive
000PX,2019-11-24 10:00:00,7.9,1007.1,2.1,89,6.2,,14.2,,27.4,289,,,0.2,2,4.4,11.6,,,0,,84,0,,,,0@@@@307@@@@,wlkLive
000PX,2019-11-24 10:15:00,7.8,1007.3,2.3,89,6.1,,9.3,,20.9,281,,,,,,,,,0,,97,0,,,,0@@@@307@@@@,wlkLive
000PX,2019-11-24 10:30:00,7.9,1007.3,2.3,89,6.2,,10.6,,20.9,277,,,,,,,,,0,,132,0.6,,,,0.6@@@@307@@@@,wlkLive
000PX,2019-11-24 10:45:00,8.2,1007.3,2.3,88,6.3,,11.4,,20.9,279,,,,,,,,,0.2,,153,0.7,,,,0.7@@@@307.4@@@@,wlkLive
000PX,2019-11-24 11:00:00,8.4,1007.3,1.6,87,6.4,,13.9,,27.4,279,,,0.2,1.2,3.4,10.8,,,0,,113,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 11:15:00,8.3,1007.7,2,85,5.9,,13.2,,22.5,282,,,,,,,,,0,,76,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 11:30:00,8.2,1007.7,2,84,5.7,,8.5,,16.1,286,,,,,,,,,0,,47,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 11:45:00,8.2,1007.5,1.8,81,5.2,,13.3,,25.7,300,,,,,,,,,0,,28,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 12:00:00,8.1,1007.6,1.3,80,4.9,,13.7,,24.1,299,,,0,0.4,2.4,8.8,,,0,,44,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 12:15:00,8.2,1007.7,1.4,80,4.9,,12.8,,27.4,297,,,,,,,,,0,,60,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 12:30:00,8.1,1007.9,1.6,80,4.9,,8.4,,22.5,298,,,,,,,,,0,,54,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 12:45:00,7.9,1008,1.7,83,5.2,,6.9,,12.9,298,,,,,,,,,0,,58,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 13:00:00,7.8,1008,0.9,82,4.9,,7.4,,14.5,294,,,0,0.2,2.2,7.2,,,0,,84,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 13:15:00,7.8,1008.1,1,82,4.9,,12.3,,22.5,296,,,,,,,,,0,,54,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 13:30:00,7.6,1008.2,1.1,85,5.3,,8.5,,16.1,284,,,,,,,,,0,,42,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 13:45:00,7.4,1008.3,1.2,85,5,,8.6,,16.1,286,,,,,,,,,0,,44,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 14:00:00,7.7,1008.2,0.9,84,5.1,,10.1,,19.3,287,,,0,,1.2,7,,,0,,56,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 14:15:00,7.9,1008.3,1,82,5.1,,10.5,,20.9,287,,,,,,,,,0,,49,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 14:30:00,8.1,1008.4,1.1,81,4.9,,9.4,,16.1,291,,,,,,,,,0,,40,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 14:45:00,8.1,1008.4,1.1,81,5.1,,10.7,,17.7,287,,,,,,,,,0,,54,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 15:00:00,8.3,1008.3,0.7,81,5.2,,10.1,,16.1,287,,,0,,0.4,5.8,,,0,,83,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 15:15:00,8.6,1008.3,0.7,80,5.4,,8.1,,17.7,289,,,,,,,,,0,,79,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 15:30:00,8.8,1008.6,1,80,5.6,,4.8,,11.3,299,,,,,,,,,0,,44,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 15:45:00,8.8,1008.6,1,81,5.7,,4.5,,11.3,277,,,,,,,,,0,,28,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 16:00:00,8.7,1008.6,0.6,80,5.3,,3,,11.3,287,,,0,,0.2,4.6,,,0,,11,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 16:15:00,8.5,1008.8,0.8,79,5,,2.8,,12.9,332,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 16:30:00,8.2,1008.8,0.8,84,5.7,,1.1,,3.2,88,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 16:45:00,7.8,1008.7,0.7,81,4.7,,3.6,,8,4,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 17:00:00,7.6,1008.8,0.6,79,4.2,,5.1,,9.7,306,,,0,,,3.4,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 17:15:00,7.4,1008.9,0.7,80,4.2,,5,,12.9,327,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 17:30:00,7.4,1009.1,0.9,78,3.9,,7.1,,14.5,315,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 17:45:00,7.6,1009.1,0.9,78,3.9,,7.1,,16.1,314,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 18:00:00,7.4,1009.3,1,78,3.9,,5.6,,9.7,321,,,0,,,2.4,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 18:15:00,6.8,1009.3,1,82,4,,3.4,,9.7,287,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 18:30:00,6.2,1009.2,0.9,82,3.4,,4.1,,9.7,290,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 18:45:00,6,1009.1,0.8,86,3.8,,7.3,,14.5,287,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 19:00:00,5.7,1009,0.4,86,3.6,,7.2,,16.1,288,,,0,,,2.2,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 19:15:00,5.4,1009.1,0.5,88,3.6,,7,,14.5,281,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 19:30:00,5.2,1009.1,0.5,88,3.4,,6.1,,12.9,281,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 19:45:00,5.1,1009.3,0.7,88,3.3,,4.7,,11.3,299,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 20:00:00,5.3,1009.4,0.6,87,3.3,,6.1,,12.9,311,,,0,,,1.2,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 20:15:00,5.4,1009.3,0.5,86,3.3,,5,,11.3,312,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 20:30:00,5.6,1009.3,0.5,87,3.6,,4.3,,9.7,320,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 20:45:00,5.1,1009.1,0.3,88,3.2,,4.9,,9.7,287,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 21:00:00,4.7,1009.1,-0.2,89,3.1,,8.3,,12.9,270,,,0,,,0.4,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 21:15:00,4.4,1009.2,-0.1,90,3,,10.3,,16.1,278,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 21:30:00,4.6,1009.3,,90,3.1,,8.1,,14.5,284,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 21:45:00,4.6,1009.3,,90,3.1,,10.5,,17.7,264,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 22:00:00,4.7,1009.3,0.3,89,3.1,,6.4,,11.3,295,,,0,,,0.2,11.8,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 22:15:00,4.9,1009.2,0.2,90,3.3,,8.2,,14.5,281,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 22:30:00,5.1,1009.3,0.3,89,3.3,,7,,14.5,283,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 22:45:00,4.9,1009.5,0.5,89,3.3,,9,,14.5,271,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 23:00:00,4.7,1009.4,,89,3.1,,6.8,,11.3,268,,,0,,,,10.8,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 23:15:00,4.7,1009.5,0.1,90,3.2,,8.9,,16.1,284,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 23:30:00,5.1,1009.4,,89,3.5,,7.8,,16.1,277,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-24 23:45:00,5.4,1009.3,-0.1,88,3.6,,5.8,,11.3,279,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 00:00:00,5.4,1009.2,,88,3.6,,4.4,,9.7,291,,,0,,,,8.8,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 00:15:00,5.2,1009.2,,89,3.4,,5.2,,9.7,282,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 00:30:00,4.9,1009.2,,89,3.3,,6.3,,12.9,279,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 00:45:00,4.8,1009.3,,90,3.3,,7,,14.5,284,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 01:00:00,4.8,1009.2,,90,3.3,,7.1,,12.9,280,,,0,,,,7.2,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 01:15:00,4.6,1009.1,,91,3.2,,6.4,,11.3,282,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 01:30:00,4.5,1009.1,,90,3.1,,5.5,,11.3,299,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 01:45:00,4.6,1009.3,,90,3.1,,6.3,,12.9,291,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 02:00:00,4.5,1009.3,,90,2.9,,9.8,,17.7,275,,,0,,,,7,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 02:15:00,4.6,1009.2,,90,3,,9.1,,17.7,278,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 02:30:00,4.8,1009.1,,89,3.2,,9.4,,16.1,274,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 02:45:00,5,1008.9,,88,3.2,,9,,16.1,273,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 03:00:00,4.9,1008.9,-0.3,87,3,,5,,11.3,301,,,0,,,,5.8,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 03:15:00,5.1,1008.9,-0.3,88,3.2,,5.6,,12.9,295,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 03:30:00,5.1,1008.9,-0.3,88,3.2,,6.8,,14.5,280,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 03:45:00,5.1,1008.9,-0.3,88,3.2,,8.2,,17.7,276,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 04:00:00,4.9,1008.9,-0.3,88,3.1,,5,,9.7,288,,,0,,,,4.6,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 04:15:00,5,1008.9,-0.3,88,3.2,,7.5,,14.5,276,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 04:30:00,4.9,1008.8,-0.4,88,3.1,,7.8,,12.9,287,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 04:45:00,4.7,1008.6,-0.6,89,3,,6.4,,12.9,279,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 05:00:00,4.7,1008.6,-0.7,89,3.1,,8.5,,17.7,300,,,0,,,,3.4,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 05:15:00,4.6,1008.7,-0.6,90,3,,6.7,,14.5,286,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 05:30:00,4.4,1008.9,-0.4,90,3,,7,,12.9,289,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 05:45:00,4.7,1008.9,-0.4,89,3.1,,6.4,,12.9,287,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 06:00:00,4.7,1009,0.1,90,3.2,,6.6,,12.9,290,,,0,,,,2.4,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 06:15:00,4.6,1009.1,0.2,90,3.1,,8.9,,14.5,277,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 06:30:00,4.3,1008.9,,90,2.8,,6,,12.9,289,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 06:45:00,4.3,1009.2,0.3,91,2.9,,7.3,,14.5,278,,,,,,,,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 07:00:00,4.4,1009.2,0.3,90,2.9,,6.6,,11.3,282,,,0,,,,2.2,,0,,0,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 07:15:00,4.6,1009.4,0.5,90,3,,7.5,,14.5,288,,,,,,,,,0,,18,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 07:30:00,4.5,1009.6,0.7,90,2.9,,6,,12.9,284,,,,,,,,,0,,26,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 07:45:00,4.7,1009.7,0.8,90,3.2,,7.2,,14.5,286,,,,,,,,,0,,70,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 08:00:00,5.7,1009.6,1,87,3.7,,6.3,,11.3,283,,,0,,,,1.2,,0,,113,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 08:15:00,5.7,1009.6,1,87,3.7,,7.4,,12.9,278,,,,,,,,,0,,51,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 08:30:00,6.1,1009.4,0.8,86,3.9,,7,,11.3,277,,,,,,,,,0,,142,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 08:45:00,6.9,1009.6,1,85,4.6,,5.2,,9.7,278,,,,,,,,,0,,211,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 09:00:00,8.1,1010,1,82,5.2,,5.9,,11.3,273,,,0,,,,0.4,,0,,146,0.6,,,,0.6@@@@307.4@@@@,wlkLive
000PX,2019-11-25 09:15:00,7.1,1010.1,1.1,84,4.6,,6.1,,11.3,272,,,,,,,,,0,,125,0.6,,,,0.6@@@@307.4@@@@,wlkLive
000PX,2019-11-25 09:30:00,7.6,1010.1,1.1,85,5.2,,4.1,,6.4,276,,,,,,,,,0,,185,0.8,,,,0.8@@@@307.4@@@@,wlkLive
000PX,2019-11-25 09:45:00,8.1,1010.3,1.3,84,5.6,,3,,4.8,268,,,,,,,,,0,,165,0.8,,,,0.8@@@@307.4@@@@,wlkLive
000PX,2019-11-25 10:00:00,8.4,1010.3,1.1,86,6.2,,0,,0,,,,0,,,,0.2,,0,,144,0.8,,,,0.8@@@@307.4@@@@,wlkLive
000PX,2019-11-25 10:15:00,9.3,1010.1,0.9,86,6.9,,1.2,,6.4,72,,,,,,,,,0,,448,1.2,,,,1.2@@@@307.4@@@@,wlkLive
000PX,2019-11-25 10:30:00,10.6,1010.2,1,80,7.4,,2.9,,9.7,103,,,,,,,,,0,,401,1.3,,,,1.3@@@@307.4@@@@,wlkLive
000PX,2019-11-25 10:45:00,11.2,1010.1,0.9,77,7.2,,5.1,,11.3,96,,,,,,,,,0,,396,1.4,,,,1.4@@@@307.4@@@@,wlkLive
000PX,2019-11-25 11:00:00,11.3,1010,0.4,76,7.2,,5.9,,11.3,114,,,0,,,,,,0,,431,1.4,,,,1.4@@@@307.4@@@@,wlkLive
000PX,2019-11-25 11:15:00,11.2,1009.9,0.3,78,7.5,,7.3,,14.5,113,,,,,,,,,0,,374,1.5,,,,1.5@@@@307.4@@@@,wlkLive
000PX,2019-11-25 11:30:00,10.6,1010,0.4,78,6.8,,7.7,,14.5,127,,,,,,,,,0,,299,1.3,,,,1.3@@@@307.4@@@@,wlkLive
000PX,2019-11-25 11:45:00,10.3,1009.8,0.2,80,7.1,,6.3,,11.3,114,,,,,,,,,0,,244,1.2,,,,1.2@@@@307.4@@@@,wlkLive
000PX,2019-11-25 12:00:00,10.4,1009.8,-0.2,79,6.9,,5.4,,9.7,102,,,0,,,,,,0,,392,1.2,,,,1.2@@@@307.4@@@@,wlkLive
000PX,2019-11-25 12:15:00,11.1,1009.7,-0.3,77,7.2,,4.7,,9.7,100,,,,,,,,,0,,468,1.4,,,,1.4@@@@307.4@@@@,wlkLive
000PX,2019-11-25 12:30:00,12.1,1009.8,-0.2,74,7.5,,5.3,,11.3,82,,,,,,,,,0,,383,1.3,,,,1.3@@@@307.4@@@@,wlkLive
000PX,2019-11-25 12:45:00,12.1,1010,,73,7.4,,4.5,,9.7,110,,,,,,,,,0,,383,1.2,,,,1.2@@@@307.4@@@@,wlkLive
000PX,2019-11-25 13:00:00,12.1,1010.1,-0.2,73,7.4,,3.4,,9.7,109,,,0,,,,,,0,,353,1.1,,,,1.1@@@@307.4@@@@,wlkLive
000PX,2019-11-25 13:15:00,11.5,1010.1,-0.2,73,6.9,,4,,8,141,,,,,,,,,0,,325,0.9,,,,0.9@@@@307.4@@@@,wlkLive
000PX,2019-11-25 13:30:00,12,1010,-0.3,74,7.4,,3.4,,9.7,101,,,,,,,,,0,,297,0.8,,,,0.8@@@@307.4@@@@,wlkLive
000PX,2019-11-25 13:45:00,11.8,1010.2,-0.1,71,6.7,,4.6,,9.7,123,,,,,,,,,0,,49,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 14:00:00,11.1,1010.3,0.3,75,6.9,,4.7,,9.7,122,,,0,,,,,,0,,88,0.6,,,,0.6@@@@307.4@@@@,wlkLive
000PX,2019-11-25 14:15:00,11.1,1010.3,0.3,78,7.4,,5.8,,11.3,114,,,,,,,,,0,,40,0,,,,0@@@@307.4@@@@,wlkLive
000PX,2019-11-25 14:30:00,10.7,1010.5,0.5,79,7.1,,5.2,,11.3,117,,,,,,,,,0,,39,0,,,,0@@@@307.4@@@@,wlkLive
