station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000CU,2015-12-12 13:00:00,11.5,1025.1,,73,6.8,,,,,,7.4,11.5,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 13:10:00,11.6,1024.9,,74,7.1,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 13:20:00,11.6,1024.8,,74,7.1,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 13:30:00,11.4,1024.8,,73,6.8,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 13:40:00,11.4,1024.8,,73,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 13:50:00,11.3,1024.6,,74,6.9,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 14:00:00,11.3,1024.6,,75,7,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 14:10:00,11.2,1024.5,,75,7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 14:20:00,11.1,1024.4,,75,6.8,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 14:30:00,11,1024.5,,75,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 14:40:00,10.9,1024.5,,76,6.8,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 14:50:00,10.8,1024.4,,76,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 15:00:00,10.7,1024.3,,76,6.6,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 15:10:00,10.6,1024.1,,76,6.6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 15:20:00,10.5,1024,,77,6.6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 15:30:00,10.4,1024,,77,6.5,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 15:40:00,10.2,1024,,78,6.6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 15:50:00,10.1,1024,,79,6.6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 16:00:00,10.1,1023.9,-1.2,79,6.6,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 16:10:00,9.9,1023.9,-1.2,80,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 16:20:00,9.9,1023.8,-1.3,80,6.6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 16:30:00,9.9,1023.8,-1.3,81,6.8,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 16:40:00,9.8,1023.8,-1.3,81,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 16:50:00,9.6,1023.8,-1.3,82,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 17:00:00,9.6,1023.7,-0.9,82,6.7,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 17:10:00,9.7,1023.6,-1,82,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 17:20:00,9.7,1023.6,-1,82,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 17:30:00,9.7,1023.5,-1.1,81,6.6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 17:40:00,9.8,1023.4,-1.2,81,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 17:50:00,9.8,1023.4,-1.2,81,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 18:00:00,9.9,1023.3,-1,81,6.8,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 18:10:00,9.9,1023.3,-1,81,6.8,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 18:20:00,10,1023.2,-1.1,80,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 18:30:00,10,1023.2,-1.1,80,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 18:40:00,9.9,1023.1,-1.2,81,6.8,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 18:50:00,9.9,1023,-1.3,80,6.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 19:00:00,10,1023,-0.9,80,6.7,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 19:10:00,9.9,1023,-0.9,80,6.6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 19:20:00,9.8,1022.9,-1,80,6.5,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 19:30:00,9.8,1022.8,-1.1,80,6.5,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 19:40:00,9.7,1022.8,-1.1,81,6.6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 19:50:00,9.7,1022.8,-1.1,81,6.6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 20:00:00,9.7,1022.6,-1.1,80,6.4,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 20:10:00,9.7,1022.5,-1.2,80,6.4,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 20:20:00,9.7,1022.5,-1.2,80,6.4,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 20:30:00,9.7,1022.5,-1.2,80,6.4,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 20:40:00,9.7,1022.5,-1.2,80,6.4,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 20:50:00,9.6,1022.5,-1.2,80,6.3,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 21:00:00,9.6,1022.5,-0.8,80,6.3,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 21:10:00,9.6,1022.5,-0.8,80,6.3,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 21:20:00,9.6,1022.3,-1,80,6.3,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 21:30:00,9.6,1022.3,-1,80,6.3,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 21:40:00,9.4,1022.2,-1.1,80,6.2,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 21:50:00,9.4,1022.2,-1.1,80,6.1,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 22:00:00,9.3,1022.2,-0.8,80,6.1,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 22:10:00,9.3,1022.1,-0.9,81,6.2,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 22:20:00,9.2,1022.1,-0.9,81,6.1,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 22:30:00,9.1,1022.1,-0.9,81,6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 22:40:00,9.1,1022.1,-0.9,81,6,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 22:50:00,8.9,1022.1,-0.9,81,5.9,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 23:00:00,8.8,1022.2,-0.4,81,5.7,,,,,,7.4,11.6,0,0,0,0,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 23:10:00,8.8,1022,-0.6,81,5.7,,,,,,7.4,11.6,,,,,,0.6,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-12 23:20:00,8.7,1022,-0.6,81,5.6,,,,,,8.7,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@1.6,weatherlink
000CU,2015-12-12 23:30:00,8.6,1022,-0.6,81,5.5,,,,,,8.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@1.6,weatherlink
000CU,2015-12-12 23:40:00,8.5,1021.8,-0.8,82,5.6,,,,,,8.5,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@1.6,weatherlink
000CU,2015-12-12 23:50:00,8.3,1021.8,-0.8,82,5.4,,,,,,8.3,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@1.6,weatherlink
000CU,2015-12-13 00:00:00,8.2,1021.7,,82,5.3,,,,,,8.2,8.8,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@1.6,weatherlink
000CU,2015-12-13 00:10:00,8.1,1021.7,,83,5.4,,,,,,8.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@1.6,weatherlink
000CU,2015-12-13 00:20:00,8.1,1021.6,,83,5.3,,,,,,8.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 00:30:00,8.1,1021.5,,83,5.3,,,,,,8,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 00:40:00,8,1021.5,,84,5.5,,,,,,7.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 00:50:00,7.9,1021.5,,84,5.4,,,,,,7.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 01:00:00,7.8,1021.5,,85,5.5,,,,,,7.8,8.8,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 01:10:00,7.8,1021.5,,85,5.4,,,,,,7.8,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 01:20:00,7.7,1021.4,,85,5.4,,,,,,7.7,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 01:30:00,7.7,1021.4,,85,5.3,,,,,,7.7,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 01:40:00,7.7,1021.3,,85,5.3,,,,,,7.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 01:50:00,7.7,1021.3,,85,5.3,,,,,,7.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 02:00:00,7.7,1021.3,,85,5.3,,,,,,7.6,8.8,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 02:10:00,7.7,1021.2,,86,5.5,,,,,,7.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 02:20:00,7.7,1021.3,,85,5.3,,,,,,7.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 02:30:00,7.7,1021.3,,85,5.4,,,,,,7.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 02:40:00,7.7,1021.1,,85,5.4,,,,,,7.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 02:50:00,7.7,1021.1,,86,5.5,,,,,,7.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 03:00:00,7.7,1021,-0.7,86,5.5,,,,,,7.6,8.8,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 03:10:00,7.7,1020.8,-0.9,85,5.3,,,,,,7.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 03:20:00,7.6,1020.7,-1,86,5.4,,,,,,7.6,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 03:30:00,7.5,1020.8,-0.9,85,5.1,,,,,,7.5,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 03:40:00,7.5,1020.8,-0.9,85,5.1,,,,,,7.4,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 03:50:00,7.4,1020.8,-0.9,85,5,,,,,,7.4,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 04:00:00,7.4,1020.9,-0.6,86,5.2,,,,,,7.4,8.8,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 04:10:00,7.4,1020.8,-0.7,86,5.2,,,,,,7.4,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 04:20:00,7.3,1021,-0.5,86,5.1,,,,,,7.3,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 04:30:00,7.4,1020.9,-0.6,86,5.2,,,,,,7.3,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 04:40:00,7.4,1021.1,-0.4,85,5,,,,,,7.3,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 04:50:00,7.3,1021.1,-0.4,86,5.1,,,,,,7.3,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 05:00:00,7.2,1021.1,-0.2,86,5,,,,,,7.2,8.8,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 05:10:00,7.2,1021.2,-0.1,86,5,,,,,,7.2,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 05:20:00,7.1,1021.2,-0.1,86,4.9,,,,,,7.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 05:30:00,7.2,1021.3,,86,5,,,,,,7.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 05:40:00,7.2,1021.3,,85,4.8,,,,,,7.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 05:50:00,7.2,1021.4,0.1,86,5,,,,,,7.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 06:00:00,7.2,1021.5,0.5,86,5,,,,,,7.1,8.8,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 06:10:00,7.2,1021.4,0.4,86,5,,,,,,7.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 06:20:00,7.2,1021.4,0.4,86,5,,,,,,7.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 06:30:00,7.2,1021.5,0.5,86,5,,,,,,7.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 06:40:00,7.2,1021.5,0.5,86,5,,,,,,7.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 06:50:00,7.1,1021.6,0.6,86,4.9,,,,,,7.1,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 07:00:00,7.1,1021.5,0.6,86,4.9,,,,,,7.1,8.8,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 07:10:00,7,1021.7,0.8,86,4.8,,,,,,7,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 07:20:00,7,1021.8,0.9,86,4.8,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 07:30:00,7,1022,1.1,86,4.8,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 07:40:00,7.1,1022,1.1,86,4.9,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 07:50:00,7.1,1022.3,1.4,86,4.9,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 08:00:00,7.1,1022.4,1.3,86,4.9,,,,,,6.9,8.8,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 08:10:00,7.1,1022.5,1.4,86,4.9,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 08:20:00,7.1,1022.4,1.3,86,4.9,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 08:30:00,7.1,1022.5,1.4,86,4.9,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 11:10:00,8.5,1022.6,0.2,83,5.8,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 11:20:00,8.6,1022.6,0.2,83,5.8,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 11:30:00,8.7,1022.6,0.2,84,6.2,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 11:40:00,8.8,1022.6,0.2,83,6.1,,,,,,6.9,8.8,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 11:50:00,9,1022.5,0.1,83,6.3,,,,,,6.9,9,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 12:00:00,9.2,1022.4,,82,6.3,,,,,,6.9,9.2,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 12:10:00,9.3,1022.4,,82,6.4,,,,,,6.9,9.3,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 12:20:00,9.4,1022.4,,81,6.3,,,,,,6.9,9.4,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 12:30:00,9.4,1022.4,,81,6.3,,,,,,6.9,9.4,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 12:40:00,9.3,1022.4,,81,6.2,,,,,,6.9,9.4,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 12:50:00,9.4,1022.4,,81,6.3,,,,,,6.9,9.4,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 13:00:00,9.4,1022.3,,82,6.5,,,,,,6.9,9.4,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 13:10:00,9.5,1022.3,,81,6.4,,,,,,6.9,9.5,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 13:20:00,9.4,1022.2,,81,6.3,,,,,,6.9,9.6,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 13:30:00,9.3,1022.3,,82,6.4,,,,,,6.9,9.6,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 13:40:00,9.1,1022.1,,83,6.3,,,,,,6.9,9.6,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 13:50:00,8.8,1022.1,,83,6.1,,,,,,6.9,9.6,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 14:00:00,8.6,1021.9,-0.7,84,6.1,,,,,,6.9,9.6,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 14:10:00,8.3,1021.7,-0.9,85,6,,,,,,6.9,9.6,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 16:00:00,5.7,1022.4,0.1,89,4,,,,,,5.7,9.7,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 16:10:00,5.4,1022.5,0.2,91,4,,,,,,5.4,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 16:20:00,5.1,1022.6,0.3,91,3.7,,,,,,5.1,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 16:30:00,4.7,1022.6,0.3,91,3.4,,,,,,4.7,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 16:40:00,4.4,1022.6,0.3,92,3.2,,,,,,4.4,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 16:50:00,4.2,1022.7,0.4,93,3.1,,,,,,4.2,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 17:00:00,4.1,1022.6,0.7,93,3,,,,,,4.1,9.7,0,0,0,0,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 17:10:00,3.8,1022.7,0.8,94,3,,,,,,3.8,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 17:20:00,3.7,1022.7,0.8,94,2.8,,,,,,3.7,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 17:30:00,3.6,1022.9,1,94,2.7,,,,,,3.6,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 17:40:00,3.2,1023,1.1,93,2.2,,,,,,3.2,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
000CU,2015-12-13 17:50:00,3.1,1023,1.1,94,2.2,,,,,,3.1,9.7,,,,,,0,0,0,,,,,,@@@15.3@461.8@@-1.5@3.2,weatherlink
