station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000WU,2023-01-01 00:00:00,11.4,1015.4,,64,4.9,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 00:10:00,11.3,1015.5,,65,4.8,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 00:20:00,11,1015.6,,65,4.7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 00:30:00,10.8,1015.6,,66,4.6,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 00:40:00,11,1015.5,,64,4.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 00:50:00,11.1,1015.4,,64,4.4,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 01:00:00,11.1,1015.4,,63,4.3,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 01:10:00,11.3,1015.4,,62,4.3,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 01:20:00,11.3,1015.5,,62,4.2,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 01:30:00,11.2,1015.9,,62,4.2,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 01:40:00,11.2,1015.9,,62,4.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 01:50:00,11.2,1016,,62,4.2,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 02:00:00,11.2,1016.2,,62,4.2,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 02:10:00,11.3,1016.2,,62,4.3,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 02:20:00,11.4,1016.1,,63,4.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 02:30:00,11.4,1016,,63,4.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 02:40:00,11.3,1016.1,,64,4.6,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 02:50:00,11.2,1016.1,,64,4.6,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 03:00:00,11.4,1016.2,0.8,64,4.8,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 03:10:00,11.6,1016.1,0.7,64,5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 03:20:00,11.6,1016,0.6,65,5.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 03:30:00,11.6,1016.1,0.7,65,5.3,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 03:40:00,11.6,1016.2,0.8,66,5.4,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 03:50:00,11.6,1016.3,0.9,67,5.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 04:00:00,11.7,1016.3,0.9,67,5.7,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 04:10:00,11.5,1016.3,0.9,68,5.7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 04:20:00,11.3,1016.4,1,69,5.8,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 04:30:00,11.4,1016.4,1,69,5.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 04:40:00,11.5,1016.3,0.9,69,6,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 04:50:00,11.5,1016.2,0.8,70,6.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 05:00:00,11.4,1016.3,0.1,70,6.1,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 05:10:00,11.4,1016.5,0.3,71,6.2,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 05:20:00,11.4,1016.6,0.4,71,6.4,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 05:30:00,11.5,1016.7,0.5,71,6.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 05:40:00,11.5,1017,0.8,71,6.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 05:50:00,11.5,1017.1,0.9,72,6.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 06:00:00,11.3,1017.3,1.1,73,6.6,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 06:10:00,11.2,1017.3,1.1,74,6.7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 06:20:00,11.3,1017.3,1.1,74,6.8,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 06:30:00,11.3,1017.3,1.1,74,6.8,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 06:40:00,11.3,1017.3,1.1,75,6.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 06:50:00,11.3,1017.4,1.2,75,7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 07:00:00,11.3,1017.8,1.5,76,7.2,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 07:10:00,11,1018,1.7,78,7.3,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 07:20:00,10.8,1018.2,1.9,80,7.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 07:30:00,10.6,1018.4,2.1,82,7.7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0,weatherlink
000WU,2023-01-01 07:40:00,10.4,1018.7,2.4,84,7.8,,,,,,,,,,,,,0.1,0.1,0.1,0,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 07:50:00,10.1,1018.9,2.6,86,7.9,,,,,,,,,,,,,0.1,0,0.1,0,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 08:00:00,10,1018.7,2.4,87,7.9,,,,,,,,0.1,0,0,0,,0.1,0,0.1,10,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 08:10:00,10,1018.9,2.6,87,7.9,,,,,,,,,,,,,0.1,0,0.1,4,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 08:20:00,10.1,1018.9,2.6,86,7.9,,,,,,,,,,,,,0.1,0,0.1,2,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 08:40:00,10,1019.1,2.8,87,8,,,,,,,,,,,,,0.1,0,0,22,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 08:50:00,9.9,1019.2,2.9,88,8.1,,,,,,,,,,,,,0.1,0,0,24,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 09:00:00,9.9,1019.4,2.1,88,8,,,,,,,,0,0.1,0,0,,0.1,0,0,10,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 09:10:00,9.9,1019.3,2,88,8,,,,,,,,,,,,,0.1,0,0,12,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 09:20:00,9.9,1019.3,2,88,8,,,,,,,,,,,,,0.1,0,0,38,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 09:30:00,9.9,1019.3,2,88,8,,,,,,,,,,,,,0.1,0,0,34,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 09:40:00,10,1019.6,2.3,87,8,,,,,,,,,,,,,0.1,0,0,24,,,,,@@@@0.1,weatherlink
000WU,2023-01-01 09:50:00,10,1019.7,2.4,88,8,,,,,,,,,,,,,0.2,0.1,0.1,30,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 10:00:00,10,1019.7,1.9,88,8,,,,,,,,0.1,0,0,0,,0.2,0,0.1,26,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 10:10:00,10,1019.8,2,87,7.9,,,,,,,,,,,,,0.2,0,0.1,24,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 10:20:00,10.1,1019.7,1.9,86,7.9,,,,,,,,,,,,,0.2,0,0.1,46,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 10:30:00,10.2,1019.4,1.6,86,7.9,,,,,,,,,,,,,0.2,0,0.1,82,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 10:40:00,10.3,1019.4,1.6,84,7.7,,,,,,,,,,,,,0.2,0,0.1,58,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 10:50:00,10.4,1019.5,1.7,82,7.5,,,,,,,,,,,,,0.2,0,0,38,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 11:00:00,10.4,1019.3,0.6,82,7.5,,,,,,,,0,0,0,0,,0.2,0,0,40,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 11:10:00,10.4,1019.5,0.8,82,7.5,,,,,,,,,,,,,0.2,0,0,40,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 11:20:00,10.4,1019.7,1,82,7.5,,,,,,,,,,,,,0.2,0,0,34,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 11:30:00,10.4,1019.8,1.1,82,7.5,,,,,,,,,,,,,0.2,0,0,32,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 11:40:00,10.5,1019.7,1,82,7.5,,,,,,,,,,,,,0.2,0,0,30,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 11:50:00,10.5,1019.6,0.9,82,7.5,,,,,,,,,,,,,0.2,0,0,28,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 12:00:00,10.5,1019.5,0.1,81,7.4,,,,,,,,0,0.1,0.2,0,,0.2,0,0,30,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 12:10:00,10.6,1019.4,,80,7.3,,,,,,,,,,,,,0.2,0,0,36,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 12:20:00,10.6,1019.3,-0.1,80,7.2,,,,,,,,,,,,,0.2,0,0,38,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 12:30:00,10.6,1019,-0.4,80,7.2,,,,,,,,,,,,,0.2,0,0,52,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 12:40:00,10.7,1019,-0.4,79,7.2,,,,,,,,,,,,,0.2,0,0,80,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 12:50:00,10.8,1019,-0.4,80,7.4,,,,,,,,,,,,,0.2,0,0,80,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 13:00:00,11,1018.9,-0.8,79,7.4,,,,,,,,0,0,0,0,,0.2,0,0,74,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 13:10:00,10.9,1018.9,-0.8,79,7.4,,,,,,,,,,,,,0.2,0,0,58,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 13:20:00,11,1018.8,-0.9,80,7.6,,,,,,,,,,,,,0.2,0,0,60,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 13:30:00,11,1018.7,-1,80,7.7,,,,,,,,,,,,,0.2,0,0,84,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 13:40:00,11,1018.8,-0.9,80,7.6,,,,,,,,,,,,,0.2,0,0,72,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 13:50:00,10.9,1018.7,-1,81,7.7,,,,,,,,,,,,,0.2,0,0,40,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 14:00:00,10.8,1018.7,-0.6,81,7.6,,,,,,,,0,0,0,0,,0.2,0,0,26,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 14:10:00,10.6,1018.7,-0.6,83,7.7,,,,,,,,,,,,,0.2,0,0,18,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 14:20:00,10.4,1018.7,-0.6,83,7.7,,,,,,,,,,,,,0.2,0,0,18,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 14:30:00,10.4,1018.7,-0.6,83,7.7,,,,,,,,,,,,,0.2,0,0,22,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 14:40:00,10.3,1018.9,-0.4,84,7.7,,,,,,,,,,,,,0.2,0,0,6,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 14:50:00,10.1,1019,-0.3,86,7.8,,,,,,,,,,,,,0.2,0,0,2,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 15:00:00,9.9,1019.1,-0.4,87,7.9,,,,,,,,0,0,0,0,,0.2,0,0,2,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 15:10:00,9.8,1019.1,-0.4,88,8,,,,,,,,,,,,,0.2,0,0,2,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 15:20:00,9.8,1019.1,-0.4,88,7.9,,,,,,,,,,,,,0.2,0,0,2,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 15:30:00,9.7,1019.1,-0.4,89,7.9,,,,,,,,,,,,,0.2,0,0,0,,,,,@@@@0.2,weatherlink
000WU,2023-01-01 15:40:00,9.5,1018.9,-0.6,90,7.9,,,,,,,,,,,,,0.3,0.1,0.1,0,,,,,@@@@0.3,weatherlink
000WU,2023-01-01 15:50:00,9.3,1018.8,-0.7,91,7.9,,,,,,,,,,,,,0.4,0.1,0.1,0,,,,,@@@@0.4,weatherlink
000WU,2023-01-01 16:00:00,9.1,1018.6,-0.3,91,7.7,,,,,,,,0.2,0,0,0,,0.4,0,0.1,0,,,,,@@@@0.4,weatherlink
000WU,2023-01-01 16:10:00,9,1018.6,-0.3,92,7.7,,,,,,,,,,,,,0.4,0,0.1,0,,,,,@@@@0.4,weatherlink
000WU,2023-01-01 16:20:00,9,1018.6,-0.3,92,7.8,,,,,,,,,,,,,0.4,0,0.1,0,,,,,@@@@0.4,weatherlink
000WU,2023-01-01 16:30:00,9,1018.6,-0.3,92,7.8,,,,,,,,,,,,,0.4,0,0.1,0,,,,,@@@@0.4,weatherlink
000WU,2023-01-01 16:40:00,9,1018.5,-0.4,93,7.9,,,,,,,,,,,,,0.5,0.1,0.1,0,,,,,@@@@0.5,weatherlink
000WU,2023-01-01 16:50:00,9,1018.2,-0.7,93,8,,,,,,,,,,,,,0.5,0,0.1,0,,,,,@@@@0.5,weatherlink
000WU,2023-01-01 17:00:00,9,1018.1,-0.6,93,8,,,,,,,,0.2,0,0,0,,0.6,0.1,0.1,0,,,,,@@@@0.6,weatherlink
000WU,2023-01-01 17:10:00,9,1017.9,-0.8,93,8,,,,,,,,,,,,,0.6,0,0.1,0,,,,,@@@@0.6,weatherlink
000WU,2023-01-01 17:20:00,9.1,1018.1,-0.6,93,8,,,,,,,,,,,,,0.6,0,0.1,0,,,,,@@@@0.6,weatherlink
000WU,2023-01-01 17:30:00,9.1,1017.7,-1,93,8,,,,,,,,,,,,,0.7,0.1,0.1,0,,,,,@@@@0.7,weatherlink
000WU,2023-01-01 17:40:00,9.1,1017.7,-1,93,8,,,,,,,,,,,,,0.8,0.1,0.1,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 17:50:00,9.1,1017.7,-1,92,7.9,,,,,,,,,,,,,0.8,0,0.1,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 18:00:00,9.1,1017.5,-1.6,92,7.9,,,,,,,,0.2,0.6,0,0.6,,0.8,0,0.1,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 18:10:00,9.1,1017.4,-1.7,92,7.9,,,,,,,,,,,,,0.8,0,0.1,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 18:20:00,9.2,1017.3,-1.8,92,8,,,,,,,,,,,,,0.8,0,0.1,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 18:30:00,9.2,1017.1,-2,92,7.9,,,,,,,,,,,,,0.8,0,0.1,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 18:40:00,9.2,1017,-2.1,92,8,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 18:50:00,9.3,1017,-2.1,92,8.1,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 19:00:00,9.3,1016.9,-1.7,92,8.1,,,,,,,,0,0,0,0,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 19:10:00,9.2,1016.7,-1.9,92,8,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 19:20:00,9.3,1016.6,-2,92,8.1,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 19:30:00,9.5,1016.4,-2.2,92,8.2,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 19:40:00,9.6,1016.2,-2.4,91,8.2,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 19:50:00,9.6,1016.2,-2.4,91,8.2,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 20:00:00,9.9,1016,-2.1,90,8.3,,,,,,,,0,0,0,0,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 20:10:00,10.1,1016,-2.1,89,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 20:20:00,10.2,1016,-2.1,88,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 20:30:00,10.3,1016,-2.1,87,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 20:40:00,10.4,1015.9,-2.2,87,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 20:50:00,10.5,1015.9,-2.2,86,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 21:00:00,10.7,1015.9,-1.6,85,8.3,,,,,,,,0,0,0,0,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 21:10:00,11,1015.8,-1.7,84,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 21:20:00,11.2,1015.7,-1.8,83,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 21:30:00,11.3,1015.6,-1.9,82,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 21:40:00,11.4,1015.5,-2,81,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 21:50:00,11.5,1015.5,-2,81,8.3,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 22:00:00,11.5,1015.5,-1.4,80,8.2,,,,,,,,0,0,0,0,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 22:10:00,11.8,1015.4,-1.5,79,8.2,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 22:20:00,11.7,1015.5,-1.4,79,8.1,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 22:30:00,11.8,1015.4,-1.5,79,8.2,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 22:40:00,12,1015.4,-1.5,77,8.1,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 22:50:00,12.2,1015.5,-1.4,77,8.2,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 23:00:00,12.2,1015.4,-0.6,76,8.1,,,,,,,,,0,0,0,0.8,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 23:10:00,12.2,1015.4,-0.6,76,8.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 23:20:00,12,1015.3,-0.7,77,8.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 23:30:00,11.8,1015.3,-0.7,78,8,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 23:40:00,11.5,1015.4,-0.6,79,7.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-01 23:50:00,11.4,1015.4,-0.6,79,7.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 00:00:00,11.3,1015.3,,80,7.9,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 00:10:00,11.2,1015.2,,80,7.9,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 00:20:00,10.9,1015.2,,81,7.8,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 00:30:00,10.7,1015.1,,82,7.7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 00:40:00,10.5,1015.1,,83,7.6,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 00:50:00,10.7,1015.1,,82,7.7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 01:00:00,10.6,1015.2,,81,7.5,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 01:10:00,10.7,1015.1,,81,7.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 01:20:00,10.7,1015.1,,81,7.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 01:30:00,10.8,1014.9,,80,7.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 01:40:00,10.8,1014.9,,80,7.5,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 01:50:00,10.9,1015,,79,7.4,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 02:00:00,10.9,1015,,79,7.4,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 02:10:00,10.9,1014.9,,79,7.3,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 02:20:00,10.7,1014.9,,79,7.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 02:30:00,10.7,1015,,78,7.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 02:40:00,10.8,1014.9,,78,7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 02:50:00,10.7,1014.9,,78,7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 03:00:00,10.8,1014.8,-0.5,77,7,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 03:10:00,11,1014.9,-0.4,77,7.1,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 03:20:00,11,1014.9,-0.4,77,7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 03:30:00,11,1015,-0.3,77,7,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 03:40:00,10.9,1015.1,-0.2,78,7.2,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 03:50:00,10.8,1015.2,-0.1,78,7.2,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 04:00:00,10.7,1015.3,0.1,79,7.2,,,,,,,,0,0,0,0,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 04:10:00,10.5,1015.4,0.2,81,7.3,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 04:20:00,10.4,1015.6,0.4,82,7.4,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 04:30:00,10.1,1015.7,0.5,84,7.4,,,,,,,,,,,,,0,0,0,0,,,,,@@@@0.8,weatherlink
000WU,2023-01-02 04:40:00,10.1,1015.7,0.5,83,7.4,,,,,,,,,,,,,0.1,0.1,0.1,0,,,,,@@@@0.9,weatherlink
000WU,2023-01-02 04:50:00,10.1,1015.6,0.4,83,7.4,,,,,,,,,,,,,0.1,0,0.1,0,,,,,@@@@0.9,weatherlink
000WU,2023-01-02 05:00:00,10,1015.7,0.7,84,7.4,,,,,,,,0.1,0,0,0,,0.1,0,0.1,0,,,,,@@@@0.9,weatherlink
000WU,2023-01-02 05:10:00,10,1015.7,0.7,84,7.4,,,,,,,,,,,,,0.1,0,0.1,0,,,,,@@@@0.9,weatherlink
000WU,2023-01-02 05:20:00,10,1015.8,0.8,84,7.4,,,,,,,,,,,,,0.1,0,0.1,0,,,,,@@@@0.9,weatherlink
000WU,2023-01-02 05:30:00,9.9,1015.9,0.9,85,7.5,,,,,,,,,,,,,0.2,0.1,0.1,0,,,,,@@@@1,weatherlink
000WU,2023-01-02 05:40:00,9.6,1016.1,1.1,87,7.5,,,,,,,,,,,,,0.3,0.1,0.1,0,,,,,@@@@1.1,weatherlink
000WU,2023-01-02 05:50:00,9.6,1016.1,1.1,87,7.6,,,,,,,,,,,,,0.3,0,0.1,0,,,,,@@@@1.1,weatherlink
000WU,2023-01-02 06:00:00,9.5,1016.1,1.3,88,7.6,,,,,,,,0.3,0.4,0,0,,0.4,0.1,0.1,0,,,,,@@@@1.2,weatherlink
000WU,2023-01-02 06:10:00,9.4,1016.2,1.4,89,7.6,,,,,,,,,,,,,0.4,0,0.1,0,,,,,@@@@1.2,weatherlink
000WU,2023-01-02 06:20:00,9.3,1016.2,1.4,89,7.6,,,,,,,,,,,,,0.5,0.1,0.1,0,,,,,@@@@1.3,weatherlink
000WU,2023-01-02 06:30:00,9.2,1016.1,1.3,89,7.5,,,,,,,,,,,,,0.5,0,0.1,0,,,,,@@@@1.3,weatherlink
000WU,2023-01-02 06:40:00,9.2,1016.2,1.4,89,7.5,,,,,,,,,,,,,0.5,0,0.1,0,,,,,@@@@1.3,weatherlink
