station_id,dh_utc,temperature,pression,pression_variation_3h,humidite,point_de_rosee,visibilite,vent_moyen,vent_rafales,vent_rafales_10min,vent_direction,temperature_min,temperature_max,pluie_1h,pluie_3h,pluie_6h,pluie_12h,pluie_24h,pluie_cumul_0h,pluie_intensite,pluie_intensite_max_1h,uv,uv_index,ensoleillement,temperature_sol,temps_omm,complements,source
000XA,2024-01-01 00:00:00,7.2,999.2,,89,5.5,,,,,,,,0.2,0,0,0,,0.2,0,0.2,0,,,,,@@@@0.2,weatherlink
000XA,2024-01-01 00:10:00,7.2,999.1,,88,5.3,,,,,,,,,,,,,0.2,0,0,0,,,,,@@@@0.2,weatherlink
000XA,2024-01-01 00:20:00,7.3,999.2,,88,5.4,,,,,,,,,,,,,0.2,0,0,0,,,,,@@@@0.2,weatherlink
000XA,2024-01-01 00:30:00,7.4,999.2,,88,5.5,,,,,,,,,,,,,0.2,0,0,0,,,,,@@@@0.2,weatherlink
000XA,2024-01-01 00:50:00,7.2,999.2,,90,5.7,,,,,,,,,,,,,0.4,0,0.2,0,,,,,@@@@0.4,weatherlink
000XA,2024-01-01 01:00:00,7.4,999.2,,90,5.9,,,,,,,,0.4,0,0,0,,0.6,0.2,0.2,0,,,,,@@@@0.6,weatherlink
000XA,2024-01-01 01:10:00,7.5,999.2,,90,6,,,,,,,,,,,,,0.6,0,0.2,0,,,,,@@@@0.6,weatherlink
000XA,2024-01-01 01:20:00,7.6,999.4,,90,6.1,,,,,,,,,,,,,0.6,0,0.2,0,,,,,@@@@0.6,weatherlink
000XA,2024-01-01 01:30:00,7.8,999.6,,89,6.1,,,,,,,,,,,,,0.6,0,0.2,0,,,,,@@@@0.6,weatherlink
000XA,2024-01-01 01:40:00,8,999.7,,88,6.1,,,,,,,,,,,,,0.8,0.2,0.2,0,,,,,@@@@0.8,weatherlink
000XA,2024-01-01 01:50:00,8,999.8,,88,6.1,,,,,,,,,,,,,0.8,0,0.2,0,,,,,@@@@0.8,weatherlink
000XA,2024-01-01 02:00:00,8.1,1000.1,,88,6.2,,,,,,,,0.2,0,0,0,,0.8,0,0.2,0,,,,,@@@@0.8,weatherlink
000XA,2024-01-01 02:20:00,8.2,1000.1,,87,6.2,,,,,,,,,,,,,0.8,0,0.2,0,,,,,@@@@0.8,weatherlink
000XA,2024-01-01 02:30:00,8.3,1000.2,,86,6.1,,,,,,,,,,,,,0.8,0,0.2,0,,,,,@@@@0.8,weatherlink
000XA,2024-01-01 02:40:00,8.3,1000.3,,85,6,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000XA,2024-01-01 02:50:00,8.4,1000.4,,83,5.7,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000XA,2024-01-01 03:00:00,8.3,1000.6,1.4,84,5.7,,,,,,,,0,0.8,0,0,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000XA,2024-01-01 03:10:00,8.1,1000.7,1.5,84,5.6,,,,,,,,,,,,,0.8,0,0,0,,,,,@@@@0.8,weatherlink
000XA,2024-01-01 03:20:00,8,1000.7,1.5,87,5.9,,,,,,,,,,,,,1,0.2,0.2,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 03:30:00,7.9,1000.7,1.5,88,6.1,,,,,,,,,,,,,1,0,0.2,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 03:40:00,7.8,1000.9,1.7,89,6.1,,,,,,,,,,,,,1,0,0.2,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 03:50:00,7.7,1001,1.8,89,6,,,,,,,,,,,,,1,0,0.2,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 04:00:00,7.7,1001.1,1.9,89,6.1,,,,,,,,0.2,0,0,0,,1,0,0.2,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 04:10:00,7.7,1001.2,2,90,6.1,,,,,,,,,,,,,1,0,0.2,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 04:20:00,7.7,1001.2,2,90,6.1,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 04:30:00,7.7,1001.3,2.1,90,6.1,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 04:50:00,7.7,1001.5,2.3,90,6.1,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 05:00:00,8,1001.5,1.4,87,5.9,,,,,,,,0,0,0,0,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 05:10:00,8.5,1001.6,1.5,81,5.5,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 05:20:00,8.6,1001.8,1.7,80,5.3,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 05:30:00,8.7,1001.9,1.8,79,5.3,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 05:40:00,8.8,1002,1.9,79,5.2,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 05:50:00,8.7,1002.2,2.1,79,5.2,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 06:00:00,8.7,1002.3,1.7,79,5.2,,,,,,,,0,0.2,0,0,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 06:10:00,8.7,1002.4,1.8,78,5.1,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 06:20:00,8.7,1002.6,2,78,5,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 06:30:00,8.7,1002.8,2.2,78,5,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 06:50:00,8.7,1003.2,2.6,78,5.1,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 07:00:00,8.7,1003.5,2.4,78,5.1,,,,,,,,0,0,0,0,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 07:10:00,8.7,1003.7,2.6,79,5.2,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 07:20:00,8.8,1003.9,2.8,79,5.2,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 07:30:00,8.9,1004.1,3,78,5.2,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 07:40:00,8.9,1004.3,3.2,78,5.2,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 07:50:00,9,1004.6,3.5,77,5.2,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 08:00:00,9.1,1004.7,3.2,77,5.3,,,,,,,,0,0,0,0,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 08:20:00,8.9,1005.1,3.6,77,5,,,,,,,,,,,,,1,0,0,6,,,,,@@@@1,weatherlink
000XA,2024-01-01 08:30:00,8.8,1005.3,3.8,77,5,,,,,,,,,,,,,1,0,0,12,,,,,@@@@1,weatherlink
000XA,2024-01-01 08:40:00,8.6,1005.4,3.9,78,5,,,,,,,,,,,,,1,0,0,22,,,,,@@@@1,weatherlink
000XA,2024-01-01 08:50:00,8.3,1005.6,4.1,80,5,,,,,,,,,,,,,1,0,0,34,,,,,@@@@1,weatherlink
000XA,2024-01-01 09:00:00,8.2,1005.7,3.4,80,4.9,,,,,,,,0,0,0,0,,1,0,0,44,,,,,@@@@1,weatherlink
000XA,2024-01-01 09:10:00,8.3,1005.8,3.5,79,4.9,,,,,,,,,,,,,1,0,0,48,,,,,@@@@1,weatherlink
000XA,2024-01-01 09:20:00,8.3,1005.9,3.6,79,4.9,,,,,,,,,,,,,1,0,0,56,,,,,@@@@1,weatherlink
000XA,2024-01-01 09:30:00,8.4,1006,3.7,79,4.9,,,,,,,,,,,,,1,0,0,54,,,,,@@@@1,weatherlink
000XA,2024-01-01 09:50:00,8.4,1006.3,4,79,4.9,,,,,,,,,,,,,1,0,0,62,,,,,@@@@1,weatherlink
000XA,2024-01-01 10:00:00,8.5,1006.4,2.9,79,5,,,,,,,,0,0,0,0,,1,0,0,72,,,,,@@@@1,weatherlink
000XA,2024-01-01 10:10:00,8.6,1006.6,3.1,78,5,,,,,,,,,,,,,1,0,0,74,,,,,@@@@1,weatherlink
000XA,2024-01-01 10:20:00,8.6,1006.7,3.2,78,4.9,,,,,,,,,,,,,1,0,0,66,,,,,@@@@1,weatherlink
000XA,2024-01-01 10:30:00,8.6,1006.8,3.3,78,4.9,,,,,,,,,,,,,1,0,0,66,,,,,@@@@1,weatherlink
000XA,2024-01-01 10:40:00,8.6,1006.8,3.3,78,4.9,,,,,,,,,,,,,1,0,0,66,,,,,@@@@1,weatherlink
000XA,2024-01-01 10:50:00,8.6,1006.9,3.4,78,4.9,,,,,,,,,,,,,1,0,0,76,,,,,@@@@1,weatherlink
000XA,2024-01-01 11:00:00,8.7,1006.9,2.2,78,5,,,,,,,,0,0,0,0,,1,0,0,90,,,,,@@@@1,weatherlink
000XA,2024-01-01 11:20:00,9.1,1007,2.3,76,5.1,,,,,,,,,,,,,1,0,0,128,,,,,@@@@1,weatherlink
000XA,2024-01-01 11:30:00,9.3,1007.1,2.4,74,4.9,,,,,,,,,,,,,1,0,0,122,,,,,@@@@1,weatherlink
000XA,2024-01-01 11:40:00,9.4,1007.1,2.4,74,4.9,,,,,,,,,,,,,1,0,0,122,,,,,@@@@1,weatherlink
000XA,2024-01-01 11:50:00,9.5,1007,2.3,73,4.9,,,,,,,,,,,,,1,0,0,112,,,,,@@@@1,weatherlink
000XA,2024-01-01 12:00:00,9.6,1007.1,1.4,73,4.9,,,,,,,,0,0,0,0,,1,0,0,114,,,,,@@@@1,weatherlink
000XA,2024-01-01 12:20:00,9.5,1007.2,1.5,74,5,,,,,,,,,,,,,1,0,0,64,,,,,@@@@1,weatherlink
000XA,2024-01-01 12:30:00,9.5,1007.3,1.6,74,5,,,,,,,,,,,,,1,0,0,56,,,,,@@@@1,weatherlink
000XA,2024-01-01 12:40:00,9.5,1007.4,1.7,73,4.9,,,,,,,,,,,,,1,0,0,74,,,,,@@@@1,weatherlink
000XA,2024-01-01 12:50:00,9.6,1007.4,1.7,72,4.7,,,,,,,,,,,,,1,0,0,116,,,,,@@@@1,weatherlink
000XA,2024-01-01 13:00:00,9.8,1007.4,1,72,4.9,,,,,,,,0,0,0,0,,1,0,0,138,,,,,@@@@1,weatherlink
000XA,2024-01-01 13:20:00,9.7,1007.6,1.2,73,5,,,,,,,,,,,,,1,0,0,100,,,,,@@@@1,weatherlink
000XA,2024-01-01 13:30:00,9.7,1007.6,1.2,74,5.2,,,,,,,,,,,,,1,0,0,110,,,,,@@@@1,weatherlink
000XA,2024-01-01 13:40:00,9.8,1007.6,1.2,75,5.6,,,,,,,,,,,,,1,0,0,158,,,,,@@@@1,weatherlink
000XA,2024-01-01 13:50:00,10,1007.6,1.2,74,5.5,,,,,,,,,,,,,1,0,0,120,,,,,@@@@1,weatherlink
000XA,2024-01-01 14:00:00,9.8,1007.6,0.7,79,6.3,,,,,,,,0,0,0,0,,1,0,0,102,,,,,@@@@1,weatherlink
000XA,2024-01-01 14:10:00,9.4,1007.6,0.7,83,6.6,,,,,,,,,,,,,1,0,0,88,,,,,@@@@1,weatherlink
000XA,2024-01-01 14:20:00,9.2,1007.6,0.7,84,6.6,,,,,,,,,,,,,1,0,0,64,,,,,@@@@1,weatherlink
000XA,2024-01-01 14:30:00,9.1,1007.5,0.6,84,6.6,,,,,,,,,,,,,1,0,0,52,,,,,@@@@1,weatherlink
000XA,2024-01-01 14:40:00,9,1007.5,0.6,85,6.6,,,,,,,,,,,,,1,0,0,50,,,,,@@@@1,weatherlink
000XA,2024-01-01 15:00:00,8.7,1007.7,0.6,85,6.3,,,,,,,,0,0,0,0,,1,0,0,22,,,,,@@@@1,weatherlink
000XA,2024-01-01 15:10:00,8.6,1007.8,0.7,84,6.1,,,,,,,,,,,,,1,0,0,20,,,,,@@@@1,weatherlink
000XA,2024-01-01 15:20:00,8.6,1007.9,0.8,83,5.9,,,,,,,,,,,,,1,0,0,12,,,,,@@@@1,weatherlink
000XA,2024-01-01 15:50:00,8.3,1007.9,0.8,80,5.1,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 16:00:00,8.3,1007.9,0.5,79,4.8,,,,,,,,0,0,0,0,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 16:10:00,8.3,1007.9,0.5,78,4.7,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 16:20:00,8.2,1007.8,0.4,78,4.5,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 16:30:00,8.1,1007.9,0.5,78,4.5,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 16:40:00,8,1007.8,0.4,79,4.5,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 16:50:00,7.9,1007.8,0.4,80,4.6,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 17:00:00,7.8,1007.8,0.2,81,4.6,,,,,,,,0,0,0,0,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 17:20:00,7.6,1007.8,0.2,82,4.7,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 17:30:00,7.5,1007.7,0.1,83,4.8,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 17:40:00,7.5,1007.6,,85,5,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 17:50:00,7.4,1007.6,,86,5.3,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 18:00:00,7.3,1007.6,-0.1,87,5.3,,,,,,,,0,0,0,0,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 18:10:00,7.2,1007.4,-0.3,88,5.3,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 18:20:00,7.1,1007.3,-0.4,89,5.3,,,,,,,,,,,,,1,0,0,0,,,,,@@@@1,weatherlink
000XA,2024-01-01 18:30:00,7.1,1007.1,-0.6,89,5.4,,,,,,,,,,,,,1.2,0.2,0.2,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 18:50:00,7,1006.5,-1.2,91,5.6,,,,,,,,,,,,,1.2,0,0.2,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 19:00:00,6.9,1006.3,-1.6,91,5.6,,,,,,,,0.2,0,0,0,,1.2,0,0.2,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 19:10:00,6.9,1006.1,-1.8,91,5.6,,,,,,,,,,,,,1.2,0,0.2,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 19:20:00,7,1005.9,-2,91,5.6,,,,,,,,,,,,,1.2,0,0.2,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 19:30:00,7.1,1005.6,-2.3,91,5.7,,,,,,,,,,,,,1.2,0,0,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 19:40:00,7.3,1005.2,-2.7,90,5.8,,,,,,,,,,,,,1.2,0,0,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 19:50:00,7.5,1005,-2.9,89,5.9,,,,,,,,,,,,,1.2,0,0,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 20:00:00,7.6,1004.8,-3,90,6,,,,,,,,0,0,0,0,,1.2,0,0,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 20:10:00,7.6,1004.6,-3.2,90,6,,,,,,,,,,,,,1.2,0,0,0,,,,,@@@@1.2,weatherlink
000XA,2024-01-01 20:20:00,7.7,1004.5,-3.3,90,6.2,,,,,,,,,,,,,1.4,0.2,0.2,0,,,,,@@@@1.4,weatherlink
000XA,2024-01-01 20:30:00,7.7,1004.2,-3.6,91,6.3,,,,,,,,,,,,,1.6,0.2,0.2,0,,,,,@@@@1.6,weatherlink
000XA,2024-01-01 20:40:00,7.6,1004,-3.8,92,6.3,,,,,,,,,,,,,1.6,0,0.2,0,,,,,@@@@1.6,weatherlink
000XA,2024-01-01 20:50:00,7.7,1003.7,-4.1,92,6.4,,,,,,,,,,,,,1.8,0.2,0.2,0,,,,,@@@@1.8,weatherlink
000XA,2024-01-01 21:00:00,7.7,1003.4,-4.2,92,6.4,,,,,,,,0.6,0.8,0,0,,1.8,0,0.2,0,,,,,@@@@1.8,weatherlink
000XA,2024-01-01 21:20:00,7.8,1003,-4.6,92,6.5,,,,,,,,,,,,,2,0.2,0.2,0,,,,,@@@@2,weatherlink
000XA,2024-01-01 21:30:00,7.8,1002.7,-4.9,92,6.6,,,,,,,,,,,,,2.2,0.2,0.2,0,,,,,@@@@2.2,weatherlink
000XA,2024-01-01 21:40:00,7.8,1002.3,-5.3,92,6.6,,,,,,,,,,,,,2.4,0.2,0.2,0,,,,,@@@@2.4,weatherlink
000XA,2024-01-01 21:50:00,7.8,1002,-5.6,93,6.7,,,,,,,,,,,,,2.6,0.2,0.2,0,,,,,@@@@2.6,weatherlink
000XA,2024-01-01 22:00:00,7.8,1001.6,-4.7,93,6.8,,,,,,,,1.2,0,0,0,,3,0.4,0.4,0,,,,,@@@@3,weatherlink
000XA,2024-01-01 22:10:00,7.9,1001.3,-5,93,6.9,,,,,,,,,,,,,3.4,0.4,0.4,0,,,,,@@@@3.4,weatherlink
000XA,2024-01-01 22:20:00,7.9,1001,-5.3,94,6.9,,,,,,,,,,,,,4,0.6,0.6,0,,,,,@@@@4,weatherlink
000XA,2024-01-01 22:30:00,7.9,1000.6,-5.7,94,7,,,,,,,,,,,,,4.4,0.4,0.6,0,,,,,@@@@4.4,weatherlink
000XA,2024-01-01 22:40:00,8,1000.4,-5.9,94,7.1,,,,,,,,,,,,,4.6,0.2,0.6,0,,,,,@@@@4.6,weatherlink
000XA,2024-01-01 22:50:00,8,1000.1,-6.2,94,7.1,,,,,,,,,,,,,5.2,0.6,0.6,0,,,,,@@@@5.2,weatherlink
000XA,2024-01-01 23:00:00,8,999.8,-5,94,7.1,,,,,,,,2.8,0,0,0,5.8,0.6,0.6,0.6,0,,,,,@@@@5.8,weatherlink
000XA,2024-01-01 23:20:00,8.1,999.2,-5.6,94,7.2,,,,,,,,,,,,,1.8,0.6,0.6,0,,,,,@@@@7,weatherlink
000XA,2024-01-01 23:30:00,8.2,998.7,-6.1,95,7.4,,,,,,,,,,,,,2.4,0.6,0.6,0,,,,,@@@@7.6,weatherlink
000XA,2024-01-01 23:40:00,8.2,998.4,-6.4,95,7.4,,,,,,,,,,,,,2.8,0.4,0.6,0,,,,,@@@@8,weatherlink
000XA,2024-01-01 23:50:00,8.3,997.9,-6.9,95,7.5,,,,,,,,,,,,,3,0.2,0.6,0,,,,,@@@@8.2,weatherlink
000XA,2024-01-02 00:00:00,8.4,997.5,,94,7.5,,,,,,,,2.4,1.2,2,0,8,3,0,0.6,0,,,,,@@@@8.2,weatherlink
000XA,2024-01-02 00:20:00,8.6,996.8,,94,7.7,,,,,,,,,,,,,3.2,0.2,0.6,0,,,,,@@@@8.4,weatherlink
000XA,2024-01-02 00:30:00,8.8,996.6,,94,7.8,,,,,,,,,,,,,3.4,0.2,0.4,0,,,,,@@@@8.6,weatherlink
000XA,2024-01-02 00:40:00,8.8,996.2,,94,7.8,,,,,,,,,,,,,3.8,0.4,0.4,0,,,,,@@@@9,weatherlink
000XA,2024-01-02 00:50:00,8.9,995.8,,94,8,,,,,,,,,,,,,4.2,0.4,0.4,0,,,,,@@@@9.4,weatherlink
000XA,2024-01-02 01:00:00,8.9,995.4,,95,8.1,,,,,,,,1.2,0,0,0,8.8,4.2,0,0.4,0,,,,,@@@@9.4,weatherlink
000XA,2024-01-02 01:10:00,9,995.1,,95,8.2,,,,,,,,,,,,,4.8,0.6,0.6,0,,,,,@@@@10,weatherlink
000XA,2024-01-02 01:20:00,9.1,994.6,,95,8.3,,,,,,,,,,,,,5.2,0.4,0.6,0,,,,,@@@@10.4,weatherlink
000XA,2024-01-02 01:30:00,9.2,994.4,,95,8.5,,,,,,,,,,,,,5.6,0.4,0.6,0,,,,,@@@@10.8,weatherlink
000XA,2024-01-02 01:40:00,9.2,994.3,,96,8.5,,,,,,,,,,,,,6,0.4,0.6,0,,,,,@@@@11.2,weatherlink
000XA,2024-01-02 01:50:00,9.3,994.1,,96,8.7,,,,,,,,,,,,,6.4,0.4,0.6,0,,,,,@@@@11.6,weatherlink
000XA,2024-01-02 02:00:00,9.4,993.9,,96,8.8,,,,,,,,2.4,0,0,0,11,6.6,0.2,0.6,0,,,,,@@@@11.8,weatherlink
000XA,2024-01-02 02:10:00,9.6,993.9,,96,9,,,,,,,,,,,,,6.6,0,0.4,0,,,,,@@@@11.8,weatherlink
000XA,2024-01-02 02:20:00,9.8,993.8,,96,9.1,,,,,,,,,,,,,6.8,0.2,0.4,0,,,,,@@@@12,weatherlink
000XA,2024-01-02 02:30:00,9.9,993.7,,96,9.3,,,,,,,,,,,,,7,0.2,0.4,0,,,,,@@@@12.2,weatherlink
000XA,2024-01-02 02:50:00,10.1,993.5,,96,9.5,,,,,,,,,,,,,7.4,0.2,0.2,0,,,,,@@@@12.6,weatherlink
000XA,2024-01-02 03:00:00,10.2,993.4,-4.1,96,9.6,,,,,,,,0.8,7.4,0,0,11.8,7.4,0,0.2,0,,,,,@@@@12.6,weatherlink
000XA,2024-01-02 03:10:00,10.4,993.3,-4.2,96,9.9,,,,,,,,,,,,,7.6,0.2,0.2,0,,,,,@@@@12.8,weatherlink
000XA,2024-01-02 03:20:00,10.6,993.4,-4.1,96,10,,,,,,,,,,,,,7.8,0.2,0.2,0,,,,,@@@@13,weatherlink
000XA,2024-01-02 03:30:00,10.8,993.5,-4,96,10.2,,,,,,,,,,,,,7.8,0,0.2,0,,,,,@@@@13,weatherlink
000XA,2024-01-02 03:40:00,11,993.5,-4,96,10.4,,,,,,,,,,,,,8,0.2,0.2,0,,,,,@@@@13.2,weatherlink
000XA,2024-01-02 03:50:00,11.2,993.6,-3.9,96,10.6,,,,,,,,,,,,,8,0,0.2,0,,,,,@@@@13.2,weatherlink
000XA,2024-01-02 04:00:00,11.4,993.7,-1.7,96,10.8,,,,,,,,0.6,0,0,0,12.2,8,0,0.2,0,,,,,@@@@13.2,weatherlink
000XA,2024-01-02 04:20:00,11.7,993.8,-1.6,96,11,,,,,,,,,,,,,8.2,0,0.2,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 04:30:00,11.8,993.9,-1.5,95,11.1,,,,,,,,,,,,,8.2,0,0.2,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 04:40:00,11.9,994.1,-1.3,95,11.1,,,,,,,,,,,,,8.2,0,0.2,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 04:50:00,12.1,994.3,-1.1,94,11.1,,,,,,,,,,,,,8.2,0,0.2,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 05:00:00,12.3,994.4,0.5,93,11.2,,,,,,,,0.2,0,0,0,12.4,8.2,0,0.2,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 05:10:00,12.3,994.4,0.5,92,11.1,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 05:20:00,12.3,994.5,0.6,92,11,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 05:30:00,12.4,994.6,0.7,92,11.1,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 05:50:00,12.4,994.8,0.9,91,11,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 06:00:00,12.5,994.9,1.5,91,11.1,,,,,,,,0,0.8,0,0,12.4,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 06:10:00,12.4,994.7,1.3,91,11,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 06:20:00,12.4,994.6,1.2,91,11,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 06:30:00,12.5,994.7,1.3,91,11.1,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 06:40:00,12.4,994.8,1.4,91,10.9,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 06:50:00,12.5,994.9,1.5,91,11,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 07:00:00,12.4,995,1.3,91,10.9,,,,,,,,0,0,0,0,12.4,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 07:20:00,12.2,995,1.3,91,10.8,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 07:30:00,12.2,995.1,1.4,91,10.8,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 07:40:00,12.2,995.1,1.4,91,10.8,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 07:50:00,12.2,995.1,1.4,91,10.8,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 08:00:00,12.2,995.2,0.8,91,10.8,,,,,,,,0,0,0,0,12.4,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 08:10:00,12.2,995.1,0.7,91,10.8,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 08:20:00,12.2,994.9,0.5,92,10.9,,,,,,,,,,,,,8.2,0,0,0,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 08:30:00,12.3,994.7,0.3,91,10.9,,,,,,,,,,,,,8.2,0,0,2,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 08:40:00,12.3,994.5,0.1,92,11.1,,,,,,,,,,,,,8.2,0,0,6,,,,,@@@@13.4,weatherlink
000XA,2024-01-02 08:50:00,12.1,994.4,,94,11.2,,,,,,,,,,,,,8.4,0.2,0.2,8,,,,,@@@@13.6,weatherlink
000XA,2024-01-02 09:00:00,12,994.3,-0.6,95,11.2,,,,,,,,0.2,0.2,0,0,12.6,8.4,0,0.2,16,,,,,@@@@13.6,weatherlink
000XA,2024-01-02 09:20:00,12,994.1,-0.8,96,11.3,,,,,,,,,,,,,9,0.4,0.4,8,,,,,@@@@14.2,weatherlink
000XA,2024-01-02 09:30:00,11.9,993.9,-1,96,11.3,,,,,,,,,,,,,9.4,0.4,0.4,6,,,,,@@@@14.6,weatherlink
000XA,2024-01-02 09:40:00,11.9,993.7,-1.2,96,11.3,,,,,,,,,,,,,9.8,0.4,0.4,10,,,,,@@@@15,weatherlink
000XA,2024-01-02 09:50:00,11.8,993.6,-1.3,96,11.2,,,,,,,,,,,,,10.2,0.4,0.4,10,,,,,@@@@15.4,weatherlink
000XA,2024-01-02 10:00:00,11.7,993.3,-1.7,96,11.1,,,,,,,,2,0,0,0,14.6,10.4,0.2,0.4,12,,,,,@@@@15.6,weatherlink
